date,day,animal_type,theme,post_text,character_count,scheduled_time
2025-07-28,月曜,猫,猫の健康管理,"---

#猫のあれこれ

愛猫の元気は日々の観察から🐾
食欲や飲水量、おトイレの様子は健康のバロメーターです。
いつもと違うな？と感じたら、早めに獣医さんへ相談を。
言葉を話せないからこそ、私たちが気づいてあげたいですね。
大切な家族と一日でも長く一緒にいられますように❤️",138,07:00
2025-07-28,月曜,犬,犬の健康管理,"3パターン提案します
#獣医が教える犬のはなし",23,18:00
2025-07-29,火曜,猫,猫の行動学,"【タイトル】#猫のあれこれ

猫がゴロゴロ喉を鳴らすのは、リラックスしている時だけじゃないって知ってた？実は不安な時や体調が悪い時、自分を落ち着かせるために鳴らすことも。周波数には治癒力を高める効果があるとも言われています。猫の出す音は奥が深いですね。🐈‍⬛💡",130,07:00
2025-07-29,火曜,犬,犬の健康管理,"--- Q.犬に人間の食べ物はあげていい？🤔 A.基本はNGです！玉ねぎやチョコは中毒の危険があり、味の濃いものは内臓に負担をかけます。欲しがっても心を鬼にして、犬用おやつをあげましょう
#獣医が教える犬のはなし",106,18:00
2025-07-30,水曜,猫,猫のグルーミング,"【タイトル】愛猫の健康を第一に考えて
#猫のあれこれ

せっせと毛づくろいタイム👅 ザラザラの舌で体を隅々まできれいにしてる姿、見てるだけで癒されるなぁ。自分を大切にする時間、邪魔しないようにそっと見守るね。君がリラックスしてると私も幸せな気持ちになるよ。いつもきれいだね✨",137,07:00
2025-07-30,水曜,犬,犬の行動学,"--- 【犬のきもちクイズ】 しっぽを振っている犬は、いつも喜んでいる…これってホント？ウソ？🐶❓ 正解は「ウソ」！ 実は嬉しい時だけでなく、緊張や警戒している時も振ります。振る方向や高さで気持ちが違うんですよ
#獣医が教える犬のはなし",118,18:00
2025-07-31,木曜,猫,猫の栄養学,"【タイトル】#猫のあれこれ

知ってた？猫は完全な肉食動物！🍖 人間や犬と違い、動物性タンパク質が主なエネルギー源です。特に必須アミノ酸の「タウリン」が不足すると、深刻な病気になることも。フードは栄養バランスが整った「総合栄養食」を選んであげましょうね。💖",128,07:00
2025-07-31,木曜,犬,犬の行動学,"--- Q. なぜ犬はお腹を見せるの？🤔 A. 服従と信頼のサインです。お腹は犬にとって急所。そこを見せるのは「あなたに敵意はないよ」「大好き！」という気持ちの表れ。叱られている時に見せる場合は「降参」の意味も
#獣医が教える犬のはなし",118,18:00
2025-08-01,金曜,猫,猫の病気予防,"#猫のあれこれ

大切な愛猫に長生きしてほしいですよね❤️病気予防の基本は、定期的なワクチン接種とノミ・ダニ予防です。年に1回は健康診断を受け、病気の早期発見を心がけましょう。日々の食欲や排泄物のチェックも忘れずに！小さな変化が大きなサインかもしれません🐱",128,07:00
2025-08-01,金曜,犬,犬のしつけ,"--- 「うちの子、全然言うこと聞いてくれない…」犬のしつけ、悩みますよね。あなたの「こうしたら上手くいった！」という成功体験や、「これってどうなの？」というしつけに関する疑問を大募集します！皆さんの声を元に獣医が解説します
#獣医が教える犬のはなし",125,18:00
2025-08-02,土曜,猫,猫のストレス管理,"【タイトル】#猫のあれこれ

猫もストレスを感じます😿過剰なグルーミング、食欲不振、トイレ以外での粗相はサインかも。模様替えや来客など、環境の変化が原因のことも。安心できる隠れ家や高い場所、静かな時間を用意してあげましょう。愛猫の小さなSOSに気づいてあげてくださいね❤️",136,07:00
2025-08-02,土曜,犬,犬の栄養学,"
#獣医が教える犬のはなし

いつものフードに飽きてきた愛犬にひと工夫🤔野菜を少量トッピングしてみませんか？キャベツや人参などを細かく刻んで加熱し、スプーン1杯からお試しを。食物アレルギーに注意し、味付けは不要です。栄養と食感のアクセントで食欲UPが期待できますよ🥕",133,18:00
2025-08-03,日曜,猫,猫の老齢ケア,"
#猫のあれこれ

シニア猫との暮らし、愛おしい時間が増えますね💕 最近、食事の好みや寝る場所が変わってきたなと感じたら、それは変化のサインかも。段差をなくしたり、柔らかいごはんを用意したり。小さな工夫で快適に過ごせます。日々の観察で、穏やかな毎日をサポートしてあげましょうね🐱",139,07:00
2025-08-03,日曜,犬,犬の病気予防,"
#獣医が教える犬のはなし

愛犬の病気予防で大切なのは「定期健診」です。ワクチンはもちろん、年に1度は健康診断を受けましょう。病気は症状が出てからでは手遅れなことも。元気なうちから体をチェックし、病気を早期発見することが長生きの秘訣です。愛犬を守れるのは飼い主さんだけですよ。🐶💉",141,18:00
